"","rep_no","time1","time2","time3","time4","time5","time6","assembly","i"
"109","13","1709568347.01361","1709568347.10919","1709568347.1097","1709568347.11019","1709568347.37813","1709568347.38188","CEN12345.fasta","55"
"110","14","1709568354.1232","1709568354.19545","1709568354.19701","1709568354.1975","1709568354.7075","1709568354.71185","CEN12345.fasta","558"
"111","16","1709568347.01362","1709568347.14976","1709568347.1504","1709568347.15085","1709568347.46769","1709568347.47249","CEN12345.fasta","56"
"112","16","1709568354.20629","1709568354.25915","1709568354.25984","1709568354.26044","1709568354.83246","1709568354.83673","CEN12345.fasta","562"
"113","44","1709568347.0137","1709568347.1992","1709568347.2015","1709568347.20212","1709568347.54289","1709568347.55501","CEN12345.fasta","57"
"114","72","1709568354.35895","1709568355.98463","1709568356.16932","1709568356.23631","1709568356.79744","1709568357.44226","CEN12345.fasta","578"
"115","281","1709568347.01377","1709568347.63756","1709568347.64275","1709568347.64476","1709568348.34793","1709568348.40601","CEN12345.fasta","58"
"116","16","1709568354.46668","1709568354.63948","1709568354.64199","1709568354.64282","1709568355.32817","1709568355.34746","CEN12345.fasta","586"
"117","504","1709568347.01383","1709568347.85147","1709568347.85766","1709568347.86358","1709568348.4274","1709568348.56659","CEN12345.fasta","59"
"118","11","1709568347.0104","1709568347.13642","1709568347.13709","1709568347.13761","1709568347.44994","1709568347.45471","CEN12345.fasta","6"
"119","954","1709568347.01388","1709568348.20379","1709568348.20705","1709568348.21122","1709568348.65622","1709568348.89482","CEN12345.fasta","60"
"120","196","1709568347.01395","1709568347.2971","1709568347.29801","1709568347.29916","1709568347.71312","1709568347.77995","CEN12345.fasta","61"
"121","776","1709568347.014","1709568347.76055","1709568347.76142","1709568347.76543","1709568348.39312","1709568348.66606","CEN12345.fasta","62"
"122","158","1709568347.39972","1709568347.67762","1709568347.79044","1709568347.84315","1709568348.39282","1709568348.43782","CEN12345.fasta","64"
"123","205","1709568347.4127","1709568347.75821","1709568347.87989","1709568347.92728","1709568348.48141","1709568348.53817","CEN12345.fasta","65"
"124","262","1709568347.41724","1709568347.83162","1709568347.94801","1709568347.99458","1709568348.50037","1709568348.56605","CEN12345.fasta","66"
"125","199","1709568347.49629","1709568347.84273","1709568347.9565","1709568348.00579","1709568348.49066","1709568348.55921","CEN12345.fasta","68"
"126","231","1709568355.5954","1709568357.44525","1709568357.44703","1709568357.44794","1709568357.85649","1709568358.18845","CEN12345.fasta","688"
"127","373","1709568347.50365","1709568347.98731","1709568348.1061","1709568348.16163","1709568348.66679","1709568348.78575","CEN12345.fasta","69"
"128","121","1709568347.01038","1709568347.25688","1709568347.25761","1709568347.2585","1709568347.60599","1709568347.6414","CEN12345.fasta","7"
"129","2630","1709568347.75499","1709568349.63618","1709568349.75714","1709568349.81657","1709568350.24646","1709568350.95703","CEN12345.fasta","71"
"130","633","1709568347.79487","1709568348.58761","1709568348.6936","1709568348.73703","1709568349.17698","1709568349.34149","CEN12345.fasta","72"
"131","2187","1709568347.79853","1709568349.45586","1709568349.56715","1709568349.62519","1709568350.00449","1709568350.60428","CEN12345.fasta","73"
"132","439","1709568347.81635","1709568348.59226","1709568348.70143","1709568348.74947","1709568349.16769","1709568349.29071","CEN12345.fasta","74"
"133","46","1709568347.81697","1709568348.00848","1709568348.11873","1709568348.1657","1709568348.63701","1709568348.65228","CEN12345.fasta","75"
"134","99","1709568347.83024","1709568348.06789","1709568348.17408","1709568348.21931","1709568348.70003","1709568348.73147","CEN12345.fasta","76"
"135","723","1709568347.84795","1709568348.78695","1709568348.91284","1709568348.97462","1709568349.37988","1709568349.56358","CEN12345.fasta","77"
"136","163","1709568347.84753","1709568348.17691","1709568348.2905","1709568348.3421","1709568348.84355","1709568348.89219","CEN12345.fasta","78"
"137","35","1709568347.87274","1709568348.04225","1709568348.14732","1709568348.19793","1709568348.68286","1709568348.69687","CEN12345.fasta","79"
"138","2878","1709568347.01024","1709568349.07604","1709568349.08064","1709568349.09316","1709568349.48766","1709568350.22398","CEN12345.fasta","8"
"139","270","1709568347.88772","1709568348.29623","1709568348.39936","1709568348.44556","1709568348.86547","1709568348.94591","CEN12345.fasta","80"
"140","371","1709568347.88878","1709568348.41978","1709568348.51423","1709568348.5596","1709568349.02064","1709568349.11552","CEN12345.fasta","81"
"141","57","1709568347.90107","1709568348.0811","1709568348.19515","1709568348.24666","1709568348.70609","1709568348.72667","CEN12345.fasta","82"
"142","57","1709568347.90279","1709568348.07342","1709568348.18795","1709568348.23315","1709568348.7479","1709568348.76624","CEN12345.fasta","83"
"143","53","1709568347.90497","1709568348.0961","1709568348.19555","1709568348.24317","1709568348.76048","1709568348.77707","CEN12345.fasta","84"
"144","467","1709568347.90697","1709568349.03237","1709568349.14986","1709568349.20104","1709568349.56558","1709568349.6828","CEN12345.fasta","85"
"145","50","1709568347.92478","1709568348.09477","1709568348.19684","1709568348.24232","1709568348.72207","1709568348.73877","CEN12345.fasta","87"
"146","152","1709568347.93513","1709568348.32794","1709568348.44039","1709568348.48973","1709568348.96411","1709568349.00405","CEN12345.fasta","88"
"147","19","1709568347.94285","1709568348.07655","1709568348.17995","1709568348.22605","1709568348.68164","1709568348.68984","CEN12345.fasta","89"
"148","9038","1709568347.01028","1709568352.9507","1709568353.10533","1709568353.14338","1709568353.58891","1709568355.9559","CEN12345.fasta","9"
"149","31","1709568347.97351","1709568348.16099","1709568348.28032","1709568348.32317","1709568348.74309","1709568348.7535","CEN12345.fasta","90"
"150","85","1709568347.97688","1709568348.21834","1709568348.33477","1709568348.38296","1709568348.84457","1709568348.87285","CEN12345.fasta","91"
